LineID	ControlName	English	French	German	Italian	Japanese	Korean	Russian	Spanish	Brazilian	Polish	Tags
24	DF_SHOP_CARD_WENDY	Wendy	Wendy	Wendy	Wendy	ウェンディ	웬디	Венди	Wendy	Wendy	Wendy	DF,SHOP,CARDS
25	DF_SHOP_CARD_CRAIG	Craig	Craig	Craig	Craig	クレイグ	크레이그	Крэйг	Craig	Craig	Craig	DF,SHOP,CARDS
26	DF_SHOP_CARD_CARTMAN	Cartman	Cartman	Cartman	Cartman	カートマン	카트먼	Картман	Cartman	Cartman	Cartman	DF,SHOP,CARDS
27	DF_SHOP_CARD_NATHAN	Nathan	Nathan	Nathan	Nathan	ネイサン	네이선	Нейтан	Nathan	Nathan	Nathan	DF,SHOP,CARDS
28	DF_SHOP_CARD_DESC_CARTMAN	Activate Power: Stomp, Deal 10 damage to surrounding enemies	Activer le pouvoir : écrasement, inflige 10 points de dégâts aux ennemis environnants.	Aktivierbare Kraft: Stampfer, 10 Schaden für umstehende Feinde	Attiva il potere "Pestata": infliggi 10 danni ai nemici circostanti	パワーを有効にする：踏みつぶして周囲の敵に10ダメージを与える	파워 발동: 짓밟기 - 주변 적에게 피해 10을 줍니다.	Активировать умение: топот. Наносит 10 ед. урона окружающим противникам.	Poder activo: Pisotón, causa 10 de daño a los enemigos cercanos	Ativar Poder: Pisão, Causa 10 de dano aos inimigos ao redor	Moc: Zdeptanie. Zadaje 10 pkt. obrażeń pobliskim wrogom	DF,SHOP,CARDS
29	DF_SHOP_CARD_BUILD_CARTMAN_IN_DECK	See how the cartman card is on the left now. You need to drag it to the right side where the deck is.	Tu as sûrement remarqué que la carte Cartman est désormais placée à gauche. Fais-la glisser vers la droite, là où se trouve le deck.	Du findest deine Cartman-Karte jetzt auf der linken Seite. Ziehe sie nach rechts in dein Deck.	Come vedi, la carta di Cartman è a sinistra ora. Devi trascinarla a destra, dove si trova il mazzo.	カートマンのカードが左側にありますので確認してください。このカードをドラッグして、デッキのある右側に移動させてください。	왼편에 있는 카트먼 카드를 덱이 있는 오른편에 드래그하세요.	Карта Картмана сейчас слева, видишь? Тебе нужно перетащить ее вправо в колоду.	Verás que la carta de Cartman está a la izquierda. Muévela a la derecha, al mazo.	Olha como a carta do Cartman está na esquerda agora. Você precisa arrastá-la para a direita, onde fica o seu baralho.	Jak widzisz, karta Cartmana jest teraz po lewej stronie. Musisz ją przeciągnąć na prawo - do swojej talii.	DF,SHOP,CARDS
30	DF_SHOP_CARD_BUILD_CARTMAN_STOMP	HEY NEW KID, TRY MY SUPER AWESOME MOVE, 'STOMP'. JUST CLICK ME ON THE BATTLEFIELD WHEN YOU SEE A STAR UNDER MY ASS.	HÉ, LE BLEU, ESSAIE MA SUPER TECHNIQUE "ÉCRASEMENT". SÉLECTIONNE-MOI SUR LE CHAMP DE BATAILLE QUAND TU VOIS UNE ÉTOILE SOUS MON CUL.	HEY NEUER, PROBIER MEINE SUPERTOLLE FÄHIGKEIT „STAMPFER“. KLICKE MICH EINFACH AUF DEM SCHLACHTFELD AN, WENN DU EINEN STERN UNTER MEINEM ARSCH SIEHST.	EHI, NOVELLINO, PROVA LA MIA MOSSA SUPER FANTASTICA: LA "PESTATA". CLICCAMI SUL CAMPO DI BATTAGLIA QUANDO VEDI UNA STELLA SOTTO IL MIO CULO.	よう新入り、俺の超パワフルなアクション「踏みつぶす」を試してみな。バトル中、俺のケツの下の星が見えたら、俺をクリックすればいい。	어이, 신삥. 나한테 '짓밟기'라는 죽이는 기술이 있으니까 내 아래에 별이 보이거든 전장에 있는 날 탭해봐.	ЭЙ, НОВИЧОК, ЗАЦЕНИ МОЙ ОТПАДНЫЙ ПРИЕМЧИК — ТОПОТ. ПРОСТО КОСНИСЬ МЕНЯ НА ПОЛЕ БОЯ, КОГДА У МЕНЯ ПОД ЗАДНИЦЕЙ ПОЯВИТСЯ ЗВЕЗДА.	EH, NIÑO NUEVO, PRUEBA MI ATAQUE "PISOTÓN". TÓCAME EN EL CAMPO DE BATALLA CUANDO ME SALGA UNA ESTRELLA EN EL CULO.	EI, MULEK, EXPERIMENTA O MEU GOLPE SUPERFODÃO, O "PISÃO". É SÓ CLICAR EM MIM NO CAMPO DE BATALHA QUANDO TIVER UMA ESTRELA EMBAIXO DA MINHA BUNDA.	EJ, NOWY, WYPRÓBUJ MOJĄ SUPERCZADOWĄ MOC, 'ZDEPTANIE'. KLIKNIJ MNIE NA POLU BITWY, JAK ZOBACZYSZ GWIAZDKĘ POD MOIM TYŁKIEM.	DF,SHOP,CARDS
31	DF_SHOP_CARD_GET_NEW	Cool, you won some coins. Let's try to get some new cards so your deck doesn't suck. balls. Tap 'Buy Card'.	Cool, tu as gagné des pièces. Essayons d'obtenir de nouvelles cartes, sinon ton deck va puer du cul. Touche "Acheter une carte".	Cool, du hast ein paar Münzen gewonnen. Versuch ein paar neue Karten zu gewinnen, damit dein Deck nicht mehr total scheiße ist. Tippe auf „Karte kaufen“.	Figo, hai vinto delle monete. Proviamo a ottenere delle carte nuove, così il tuo mazzo non farà schifo al cazzo. Tocca "Acquista carta".	よし、コインを獲得したな。次は新しいカードをゲットだ。手持ちのカードがクソじゃまずいからな。「カードを購入」をタップしろ。	코인을 얻었습니다. 허접한 기본 덱에 새 카드를 추가해 볼까요? '카드 구매'를 탭하세요.	Мы заработали монеты. Круто! Давай теперь купим новые карты, чтобы твоя колода не была такой унылой. Коснись кнопки «Купить карты».	Toma ya, has ganado monedas. Ahora vamos a conseguir cartas para que tu mazo dé menos pena. Toca "Comprar carta".	Legal, você ganhou umas moedas. Vamos ver se a gente arranja algumas cartas novas pro seu baralho deixar de ser ruim de doer. Toque em "Comprar carta".	Super, wygrywasz trochę monet. Spróbujmy zdobyć trochę nowych kart, żeby twoja talia nie ssała aż tak mocno. Dotknij 'Kup kartę'.	DF,SHOP,CARDS
33	DF_SHOP_CARD_AQUIRED_NEW	OH I SEE YOU HAVE ACQUIRED A TOTAL BADASS. Sweeeet. Let's add this card to your deck. Tap 'Deck Builder'.	OH, JE VOIS QUE TU AS OBTENU UNE CARTE REDOUTABLE. La classe. Ajoutons cette carte à ton deck. Touche "Créateur de deck".	OH DU HAST EINE TOTAL GEILE KARTE BEKOMMEN. Füge sie deinem Deck hinzu. Klick auf „Deck ändern“.	OH, VEDO CHE NE HAI ACQUISITA UNA CHE SPACCA. Fiiigo. Aggiungiamo questa carta al tuo mazzo. Tocca "Creatore di mazzi".	おお！いいカードばっかじゃん！やったな。このカードをデッキに追加だ。「デッキビルダー」をタップ。	쩌는 카드를 얻었습니다. 죽여주네요. 새 카드를 덱에 추가할까요? '덱 편집기'를 탭하세요.	АГА, ВИЖУ, У ТЕБЯ ГУБА НЕ ДУРА. Шика-а-арно. Теперь давай добавим эту карту в колоду. Коснись кнопки «Конструктор колоды».	¡JO! ¡MENUDA CARTA TE HA TOCADO! Genial. Métela en el mazo. Toca "Editor de mazos".	AH, TÔ VENDO QUE VOCÊ ARRANJOU UMA CARTA FODONA. Legaaaal. Vamos colocar ela no seu baralho. Toque em "Construtor de baralho".	NO PROSZĘ, WIDZĘ ŻE ZDOBYŁEŚ ZAJEBISTĄ KARTĘ. Czaaaaad. Dodajmy ją do twojej talii. Dotknij 'Budowanie talii'.	DF,SHOP,CARDS
34	DF_SHOP_CARD_DESC_HEADER	Card Description	Description de la carte	Kartenbeschreibung	Descrizione carta	カードの説明	카드 설명	Описание карты	Descripción de carta	Descrição da carta	Opis karty	DF,SHOP,CARDS
35	DF_SHOP_CARD_SHARE	Share	Partager	Teilen	Condividi	共有	공유	Поделиться	Compartir	Compartilhar	Podziel się	DF,SHOP,CARDS
36	DF_SHOP_CARD_TECH_TREE	Tech tree	Arbre de compétences	Upgrades	Albero tecnologico	技術ツリー	테크트리	Дерево технологий	Árbol de tecnología	Árvore de técnicas	Drzewko zdolności	DF,SHOP,CARDS
37	DF_SHOP_CARD_LVL	LVL	NIV	LVL	LIV	レベル	레벨	УР.	NV.	NVL	POZ.	DF,SHOP,CARDS
1266	DF_SHOP_CARD_STATS	Stats	Stats	Werte	Statistiche	ステータス	능력치	Характеристики	Estad.	Atributos	Statystyki	DF,SHOP,CARDS
1424	DF_SHOP_NOT_ENOUGH_SOFT_CURRENCY_TITLE	You don't have enough Cartman Coins!	Tu n'as pas assez de pièces Cartman !	Du verfügst nicht über genügend Cartman-Münzen!	Non hai abbastanza Monete Cartman!	カートマン・コインが足りません！	카트먼 코인이 부족합니다!	Не хватает монет Картмана!	¡Te faltan Monedas Cartman!	Moedas do Cartman insuficientes!	Masz za mało monet Cartmana!	DF,SHOP,CARDS
1425	DF_SHOP_NOT_ENOUGH_HARD_CURRENCY_TITLE	You don't have enough Cash!	Tu n'as pas assez de fric !	Du hast nicht genug Kohle!	Non hai abbastanza contanti!	マネーが足りません！	캐쉬가 부족합니다!	Не хватает наличности!	¡Te falta dinero!	Dinheiro insuficiente!	Masz za mało kasy!	DF,SHOP,CARDS
1426	DF_SHOP_NOT_ENOUGH_PVP_CURRENCY_TITLE	You don't have enough PVP Tickets!	Tu n'as pas assez de tickets PvP !	Du hast nicht genügend PvP-Tickets!	Non hai abbastanza biglietti PvP!	PvPチケットが足りません！	PvP 토큰이 부족합니다!	Не хватает билетов PvP!	¡Te faltan billetes JcJ!	Bilhetes de JxJ insuficientes!	Masz za mało biletów PvP!	DF,SHOP,CARDS
1427	DF_SHOP_NOT_ENOUGH_SOFT_CURRENCY_TEXT	You don't have enough Cartman Coins to complete the purchase. You can get more Cartman Coins in the shop.	Tu n'as pas assez de pièces Cartman pour terminer cet achat. Tu peux obtenir davantage de pièces Cartman depuis la boutique.	Du hast nicht genügend Cartman-Münzen, um den Einkauf abzuschliessen. Du kannst dir mehr Cartman-Münzen im Shop besorgen.	Non hai abbastanza Monete Cartman per completare l'acquisto. Puoi ottenerne nel negozio.	カートマン・コインが足りないため、購入を完了できません。カートマン・コインはショップで入手できます。	카트먼 코인이 부족합니다. 상점에서 카트먼 코인을 구매할 수 있습니다.	Для совершения этой покупки не хватает монет Картмана. Получить их можно в магазине.	Te faltan Monedas Cartman para completar la compra. Puedes comprar Monedas Cartman en la tienda.	Você não tem Moedas do Cartman suficientes para concluir a compra. Você consegue mais Moedas do Cartman na loja.	Masz za mało monet Cartmana na dokończenie tej transakcji. Możesz zdobywać monety Cartmana w sklepie.	DF,SHOP,CARDS
1428	DF_SHOP_NOT_ENOUGH_HARD_CURRENCY_TEXT	You don't have enough Cash to complete the purchase. You can get more Cash in the shop.	Tu n'as pas assez de fric pour terminer cet achat. Tu peux obtenir davantage de fric depuis la boutique.	Du hast nicht genügend Kohle, um den Einkauf abzuschließen. Du kannst dir mehr Kohle im Shop beschaffen.	Non hai abbastanza contanti per completare l'acquisto. Puoi ottenerne nel negozio.	マネーが足りないため、購入を完了できません。マネーはショップで入手できます。	캐쉬가 부족합니다. 상점에서 캐쉬를 구매할 수 있습니다.	Для совершения этой покупки не хватает наличности. Получить ее можно в магазине.	Te falta dinero para completar la compra. Puedes comprar dinero en la tienda.	Você não tem Dinheiro suficiente para concluir a compra. Você consegue mais Dinheiro na loja.	Masz za mało kasy na dokończenie tej transakcji. Możesz zdobywać kasę w sklepie.	DF,SHOP,CARDS
1429	DF_SHOP_NOT_ENOUGH_PVP_CURRENCY_TEXT	You don't have enough PVP Tickets to complete the purchase. You can get more PVP Tickets from PVP packs and lockers.	Tu n'as pas assez de tickets PvP pour terminer cet achat. Tu peux obtenir davantage de tickets PvP dans les packs PvP et les casiers.	Du hast nicht genügend PvP-Tickets, um den Einkauf abzuschließen. Du kannst mehr PvP-Tickets in den PvP-Paketen und Spinden erhalten.	Non hai abbastanza biglietti PvP per completare l'acquisto. Puoi ottenerne nei pacchetti PvP e negli armadietti.	PvPチケットが足りないため、購入を完了できません。PvPチケットはPvPパックとロッカーから入手できます。	PvP 토큰이 부족합니다. PvP 팩 또는 락커에서 PvP 토큰을 얻을 수 있습니다.	Для совершения этой покупки не хватает билетов PvP. Получить их можно в PvP-наборах и шкафчиках.	Te faltan billetes JcJ para completar la compra. Puedes conseguir billetes JcJ de los packs JcJ y en las taquillas.	Você não tem Bilhetes de JxJ suficientes para concluir a compra. Você consegue mais Bilhetes de JxJ em armários e pacotes de JxJ.	Masz za mało biletów PvP na dokończenie tej transakcji. Możesz zdobywać bilety PvP w pakietach i szafkach PvP.	DF,SHOP,CARDS
1430	DF_SHOP_NOT_ENOUGH_GET_MORE_SC	Go to shop	Accéder à la boutique	Zum Shop	Vai al negozio	ショップへ行く	상점으로 이동	Перейти в магазин	Ir a la tienda.	Ir para a loja	Przejdź do sklepu	DF,SHOP,CARDS
1431	DF_SHOP_NOT_ENOUGH_GET_MORE_HC	Go to shop	Accéder à la boutique	Zum Shop	Vai al negozio	ショップへ行く	상점으로 이동	Перейти в магазин	Ir a la tienda.	Ir para a loja	Przejdź do sklepu	DF,SHOP,CARDS
1432	DF_SHOP_NOT_ENOUGH_GET_MORE_PVPC	PLAY PVP	JOUER EN PVP	PVP SPIELEN	GIOCA PVP	PvPをプレイする	PvP 플레이	PVP-БОЙ	JUGAR AL JCJ	JOGAR JxJ	GRAJ W PVP	DF,SHOP,CARDS
1433	DF_SHOP_COULD_NOT_COMPLETE	Could not complete transaction.	Impossible d'achever la transaction.	Die Transaktion konnte nicht beendet werden.	Impossibile completare la transazione.	取引を完了できませんでした。	거래를 완료할 수 없습니다.	Не удается завершить транзакцию.	Error al completar la transacción	Não foi possível concluir a transação.	Nie udało się dokończyć transakcji	DF,SHOP,CARDS
1505	DF_CARDPOPUP_GET_EXPERIENCE	You will get	Tu obtiendras	Du erhältst	Riceverai	獲得経験値：	획득	Ты получишь:	Recibes	Você vai ganhar	Otrzymasz:	DF,SHOP,CARDS
4803	DF_SHOP_ALL	All	Tout	Alle	Tutto	全部	모두	Все	Todo	Tudo	Wszystko	DF,SHOP,CARDS
7777	DF_SHOP_POPUP_PACK_NORMAL1	Power Up your Cards with more Upgrade Items and Gold!\nConfirm buying this pack for {0}?	Booste tes cartes avec plus d'objets d'amélioration et d'or !\nConfirmer l'achat de ce pack pour {0} ?	Verleih deinen Karten mit mehr Upgrade-Objekten und Gold mehr Energie!\nKauf dieses Pakets für {0} bestätigen?	Potenzia le tue carte con altri oggetti potenziamento e oro!\nConfermi l'acquisto di questo pacchetto per {0}?	アップグレードアイテムとゴールドでカードをパワーアップ！\nこのパックを{0}で購入しますか？	업그레이드 아이템과 골드로 카드를 강화하세요!\n{0}(으)로 이 팩을 구매할까요?	Используй предметы улучшения и золото для усиления своих карт!\nПодтверждаешь покупку этого набора за {0}?	¡Mejora tus cartas con más objetos de mejora y oro!\n¿Confirmas la compra de este pack por {0}?	Fortaleça suas Cartas com mais itens de melhoria e Ouro!\nConfirma a compra deste pacote por {0}?	Wzmocnij swoje karty używając złota i przedmiotów do ulepszeń! \nCzy potwierdzasz kupno tego pakietu za {0}?	DF,SHOP,POPUP,PCPUR
7778	DF_SHOP_POPUP_PACK_NORMAL2	Cards, Upgrade Items, and Gold to rank-up your deck!\nConfirm buying this pack for {0}?	Cartes, objets d'amélioration et or pour augmenter le niveau de ton deck !\nConfirmer l'achat de ce pack pour {0} ?	Karten, Upgrade-Objekte und Gold, um dein Deck aufzuwerten!\nKauf dieses Pakets für {0} bestätigen?	Carte, oggetti potenziamento e oro per far salire di rango il tuo mazzo!\nConfermi l'acquisto di questo pacchetto per {0}?	カード、アップグレードアイテム、コインでデッキをランクアップ！\nこのパックを{0}で購入しますか？	카드, 업그레이드 아이템, 골드로 덱 랭크를 올리세요!\n{0}(으)로 이 팩을 구매할까요?	Карты, предметы улучшения и золото, чтобы сделать колоду мощнее!\nПодтверждаешь покупку этого набора за {0}?	¡Cartas, objetos de mejora y oro para que tu mazo suba de rango!\n¿Confirmas la compra de este pack por {0}?	Cartas, itens de melhoria e Ouro para aumentar a classificação do seu baralho!\nConfirma a compra deste pacote por {0}?	Karty, przedmioty do ulepszeń i złoto, dzięki którym twoja talia wejdzie na nowy poziom! \nCzy potwierdzasz kupno tego pakietu za {0}?	DF,SHOP,POPUP,PCPUR
7779	DF_SHOP_POPUP_PACK_NORMAL3	Even more Cards, Upgrade Items, and Gold to rank-up your deck!\nConfirm buying this pack for {0}?	Encore plus de cartes, d'objets d'amélioration et d'or pour augmenter le niveau de ton deck !\nConfirmer l'achat de ce pack pour {0} ?	Noch mehr Karten, Upgrade-Objekte und Gold, um dein Deck aufzuwerten!\nKauf dieses Pakets für {0} bestätigen?	Altre carte, oggetti potenziamento e oro per far salire di rango il tuo mazzo!\nConfermi l'acquisto di questo pacchetto per {0}?	さらに多くのカード、アップグレードアイテム、コインでデッキをランクアップ！\nこのパックを{0}で購入しますか？	더 많은 카드, 업그레이드 아이템, 골드로 덱 랭크를 올리세요!\n{0}(으)로 이 팩을 구매할까요?	Еще больше карт, предметов улучшения и золота, чтобы сделать колоду мощнее!\nПодтверждаешь покупку этого набора за {0}?	¡Aún más cartas, objetos de mejora y oro para que tu mazo suba de rango!\n¿Confirmas la compra de este pack por {0}?	Ainda mais Cartas, itens de melhoria e Ouro para aumentar a classificação do seu baralho!\nConfirma a compra deste pacote por {0}?	Jeszcze więcej kart, przedmiotów do ulepszeń i złota, dzięki którym wprowadzisz swoją talię na nowy poziom!\nCzy potwierdzasz kupno tego pakietu za {0}?	DF,SHOP,POPUP,PCPUR
7780	DF_SHOP_POPUP_PACK_NORMAL4	Buff up your New Kid with tons of Cards, Upgrade Items, and Gold!\nConfirm buying this pack for {0}?	Renforce ton Bleu avec des tonnes de cartes, d'objets d'amélioration et d'or !\nConfirmer l'achat de ce pack pour {0} ?	Unterstütze deinen Neuen mit tonnenweise Karten, Upgrade-Objekten und Gold!\nKauf dieses Pakets für {0} bestätigen?	Potenzia il tuo Novellino con un sacco di carte, oggetti potenziamento e oro!\nConfermi l'acquisto di questo pacchetto per {0}?	大量のカード、アップグレードアイテム、コインで新入りを強化しよう！\nこのパックを{0}で購入しますか？	카드, 업그레이드 아이템, 골드로 신삥을 강화하세요!\n{0}(으)로 이 팩을 구매할까요?	Сделай своего Новичка сильнее с помощью кучи карт, предметов улучшения и золота!\nПодтверждаешь покупку этого набора за {0}?	¡Mejora a tu niño nuevo con un porrón de cartas, objetos de mejora y oro!\n¿Confirmas la compra de este pack por {0}?	Deixe seu Mulek mais bombado com montes de Cartas, itens de melhoria e Ouro!\nConfirma a compra deste pacote por {0}?	Dopakuj swojego Nowego masą nowych kart, przedmiotów do ulepszeń i złota!\nCzy potwierdzasz kupno tego pakietu za {0}?	DF,SHOP,POPUP,PCPUR
7781	DF_SHOP_POPUP_PACK_GENERIC	Confirm buying this pack for {0}?	Confirmer l'achat de ce pack pour {0} ?	Kauf dieses Pakets für {0} bestätigen?	Confermi l'acquisto di questo pacchetto per {0}?	このパックを{0}で購入しますか？	{0}(으)로 이 팩을 구매할까요?	Подтверждаешь покупку этого набора за {0}?	¿Confirmas la compra de este pack por {0}?	Confirma a compra deste pacote por {0}?	Czy potwierdzasz kupno tego pakietu za {0}?	DF,SHOP,POPUP,PCPUR
7782	DF_SHOP_POPUP_DAILY_DEAL_TITTLE	Daily Deal	Offre quotidienne	Tagesangebot	Affare quotidiano	デイリーディール	오늘의 추천 상품	Ежедневная сделка	Oferta diaria	Oferta Diária	Oferta codzienna	DF,SHOP,POPUP,PCPUR
7783	DF_SHOP_POPUP_RESOURCES	Do you want to buy {0} for {1}?	Veux-tu acheter {0} pour {1} ?	Möchtest du {0} für {1} kaufen?	Vuoi comprare {0} per {1}?	{0}を{1}で購入しますか？	{1}(으)로 {0}을(를) 구매할까요?	Хочешь купить: {0} за {1}?	¿Quieres comprar {0} por {1}?	Deseja comprar {0} por {1}?	Czy chcesz kupić {0} za {1}?	DF,SHOP,POPUP,PCPUR
8155	DF_SHOP_POPUP_PACK_SILVER	Cards, Upgrade Items, and Gold to rank-up your deck!\nConfirm buying this pack for {0}?	NO_LOCA	NO_LOCA	NO_LOCA	NO_LOCA	NO_LOCA	NO_LOCA	NO_LOCA	NO_LOCA	NO_LOCA	DF,SHOP,POPUP,PCPUR
8156	DF_SHOP_POPUP_PACK_GOLD	Even more Cards, Upgrade Items, and Gold to rank-up your deck!\nConfirm buying this pack for {0}?	NO_LOCA	NO_LOCA	NO_LOCA	NO_LOCA	NO_LOCA	NO_LOCA	NO_LOCA	NO_LOCA	NO_LOCA	DF,SHOP,POPUP,PCPUR
8157	DF_SHOP_POPUP_PACK_UPGRADE	Power Up your Cards with more Upgrade Items and Gold!\nConfirm buying this pack for {0}?	NO_LOCA	NO_LOCA	NO_LOCA	NO_LOCA	NO_LOCA	NO_LOCA	NO_LOCA	NO_LOCA	NO_LOCA	DF,SHOP,POPUP,PCPUR
553	DF_SHOP_NOT_ENOUGH_COINS	Not enough coins to buy this item	Pièces insuffisantes pour acheter cet objet	Du hast nicht genügend Münzen, um das Objekt zu kaufen.	Monete insufficienti per acquistare questo oggetto	このアイテムを購入するコインが足りません	코인 부족으로 아이템을 구매할 수 없음	Для покупки этого предмета не хватает монет	Te faltan monedas para comprar esto.	Moedas insuficientes para comprar este item	Za mało monet na zakup tego przedmiotu	DF,SHOP,POPUP
555	DF_SHOP_NOT_ENOUGH_PVP_COINS	Not enough pvp tickets to buy this item	Tickets PvP insuffisants pour acheter cet objet	Du hast nicht genug PvP-Tickets, um das Objekt zu kaufen.	Biglietti PvP insufficienti per acquistare questo oggetto	このアイテムを購入するPvPチケットが足りません	PvP 입장권 부족으로 아이템을 구매할 수 없음	Для покупки этого предмета не хватает билетов PvP	Te faltan billetes JcJ para comprar esto.	Bilhetes de JxJ insuficientes para comprar o item	Za mało biletów PvP na zakup tego przedmiotu	DF,SHOP,POPUP
1315	DF_MENU_CARD_PACK_ADDED_AFTER_CRASH	The game exited unexpectedly, but don't worry, you still got your rewards!	Le jeu s'est fermé sans prévenir, mais ne t'inquiète pas, tu rafles quand même tes récompenses !	Das Spiel wurde unerwartet abgebrochen, aber keine Sorge, du bekommst deine Belohnungen!	Il gioco si è chiuso in maniera inaspettata, ma non temere: hai ancora le tue ricompense!	ゲームは予期せず終了しましたが、心配いりません。報酬は獲得できます！	예기치 못한 오류로 게임이 종료되었습니다. 하지만 보상은 유지됩니다!	Игра неожиданно вылетела, но не бойся, награды все равно твои!	El juego se ha cerrado de forma inesperada, pero no te preocupes, ¡sigues recibiendo el premio!	O jogo foi fechado inesperadamente, mas não se preocupe, você obteve suas recompensas!	Gra zakończyła działanie w nieoczekiwanym momencie, ale nie martw się, dostaniesz swoje nagrody!	DF,SHOP,POPUP
1387	DF_SHOP_POPUP_CARDS_LEFT	IN STOCK:	EN STOCK :	AUF LAGER:	DISPONIBILI:	在庫	재고:	В ПРОДАЖЕ:	TENEMOS:	EM ESTOQUE:	W MAGAZYNIE:	DF,SHOP,POPUP
1502	DF_BUY_1_ITEM	Buy 1	Acheter 1	1 kaufen	Acquista 1	1枚購入	1개 구매	Купить: 1	Comprar 1	Comprar 1	Kup: 1	DF,SHOP,POPUP
1504	DF_BUY_N_ITEMS	Buy {0}	Acheter {0}	{0} kaufen	Acquista {0}	{0}枚購入	{0}개 구매	Купить: {0}	Comprar {0}	Comprar {0}	Kup: {0}	DF,SHOP,POPUP
1884	DF_SHOP_POPUP_OWNED	Owned: {0}	En ta possession : {0}	Im Besitz: {0}	Posseduti: {0}	所有：{0}	보유: {0}	В наличии: {0}	Tienes: {0}	Possui: {0}	Masz: {0}	DF,SHOP,POPUP
1889	DF_SHOP_ARE_YOU_SURE	Are you sure you want to buy {0} for {1}?	Veux-tu vraiment acheter {0} pour {1} ?	Möchtest du {0} wirklich für {1} kaufen?	Vuoi acquistare {0} per {1}?	{0} を{1} で購入しますか？	{1} (으)로 {0} 을(를) 구매할까요?	Ты точно хочешь купить: {0} за {1}?	¿Seguro que quieres comprar {0} por {1}?	Deseja mesmo comprar {0} por {1}?	Czy na pewno chcesz kupić: {0} za {1}?	DF,SHOP,POPUP
1890	DF_SHOP_CONFIRMATION	You have successfully purchased {0}	Tu as acheté {0}	Du hast {0} gekauft.	Hai acquistato {0}	{0}の購入に成功しました	{0} 구매 완료	Успешная покупка: {0}	Has comprado {0}.	Você comprou {0}	Udało ci się dokonać zakupu: {0}	DF,SHOP,POPUP
1891	DF_SHOP_DEFAUL_ITEM_NAME	item	Objet	Objekt	oggetto	アイテム	아이템	предмет	objeto	item	przedmiot	DF,SHOP,POPUP
2182	DF_SHOP_NOT_ENOUGH_CASH_COINS	Not enough cash to buy this item	Fric insuffisant pour acheter cet objet	Du hast nicht genügend Kohle, um das Objekt zu kaufen.	Contanti insufficienti per acquistare questo oggetto	このアイテムを購入するマネーが足りません	캐쉬 부족으로 아이템을 구매할 수 없음	Для покупки этого предмета не хватает наличности.	Te falta dinero para comprar esto.	Dinheiro insuficiente para comprar o item	Za mało kasy na zakup tego przedmiotu	DF,SHOP,POPUP
